event_id,title,reason
940122,KCC T20 Summer League: Cochin Hurricanes vs Royal Lions CC,Non-weather keyword/tag match
953867,Panthers vs. Hurricanes,Non-weather keyword/tag match
1070093,KCC T20 Summer League: Super XI vs Cochin Hurricanes,Non-weather keyword/tag match
1069621,Hurricanes vs. Canucks,Non-weather keyword/tag match
1059215,Hurricanes vs. Flames,Non-weather keyword/tag match
1053874,Hurricanes vs. Jets,Non-weather keyword/tag match
1033571,Capitals vs. Hurricanes,Non-weather keyword/tag match
1023342,Hurricanes vs. Flyers,Non-weather keyword/tag match
1017346,Hurricanes vs. Blackhawks,Non-weather keyword/tag match
1005029,Canucks vs. Hurricanes,Non-weather keyword/tag match
994279,Hurricanes vs. Canadiens,Non-weather keyword/tag match
976499,Hurricanes vs. Flyers,Non-weather keyword/tag match
970184,Capitals vs. Hurricanes,Non-weather keyword/tag match
936780,Hurricanes vs. Predators,Non-weather keyword/tag match
1037163,Persipura Jayapura vs. Kendal Tornado FC,Non-weather keyword/tag match
571194,Israeli forces withdraw from beyond the Litani River by…?,Non-weather keyword/tag match
1074834,CA Sarmiento vs. CA River Plate,Non-weather keyword/tag match
1069783,CA Penarol Montevideo vs. CA Boston River,Non-weather keyword/tag match
726077,CA River Plate vs. CA Rosario Central,Non-weather keyword/tag match
791838,CA Tigre vs. CA River Plate,Non-weather keyword/tag match
807078,CA River Plate vs. Independiente Santa Fe,Non-weather keyword/tag match
791858,CA River Plate vs. AA Argentinos Juniors,Non-weather keyword/tag match
710708,Gimnasia y Esgrima de La Plata vs. CA River Plate,Non-weather keyword/tag match
828782,CA River Plate vs. CA Vélez Sarsfield,Non-weather keyword/tag match
937260,CA Tucumán vs. CA River Plate,Non-weather keyword/tag match
866150,CA Banfield vs. CA River Plate,Non-weather keyword/tag match
977100,CA River Plate vs. CA Huracán,Non-weather keyword/tag match
787031,Independiente Santa Fe vs. CA River Plate,Non-weather keyword/tag match
937251,CA River Plate vs. CS Independiente Rivadavia,Non-weather keyword/tag match
801687,Club Nacional de Football vs. CA Boston River,Non-weather keyword/tag match
827830,CA Boston River vs. Danubio FC,Non-weather keyword/tag match
941457,Liverpool Montevideo vs. CA Boston River,Non-weather keyword/tag match
1032876,CA Boston River vs. CA Progreso,Non-weather keyword/tag match
980337,Racing Club Montevideo vs. CA Boston River,Non-weather keyword/tag match
907197,"Cross River, Nigeria Governor Election Winner",Non-weather keyword/tag match
855652,Albion FC vs. CA Boston River,Non-weather keyword/tag match
894939,CA Boston River vs. CA Cerro,Non-weather keyword/tag match
741381,Will Charles River (CRL) beat quarterly earnings?,Non-weather keyword/tag match
761858,Racing Club Montevideo vs. CA Boston River,Non-weather keyword/tag match
738668,Racing Club Montevideo vs. CA Boston River,Non-weather keyword/tag match
276538,Seattle Sounders FC vs. Real Salt Lake,Non-weather keyword/tag match
1017465,Real Salt Lake vs. New England Revolution,Non-weather keyword/tag match
821871,Orlando City SC vs. Real Salt Lake,Non-weather keyword/tag match
859815,Colorado Rapids SC vs. Real Salt Lake,Non-weather keyword/tag match
910478,"Google Maps renames Lake Ontario to ""Lake America"" by...?",Non-weather keyword/tag match
921472,Houston Dynamo vs. Real Salt Lake,Non-weather keyword/tag match
722013,St. Louis City SC vs. Real Salt Lake,Non-weather keyword/tag match
752111,Real Salt Lake vs. Atlante FC,Non-weather keyword/tag match
806642,Real Salt Lake vs. FC Dallas,Non-weather keyword/tag match
853932,Club León FC vs. Real Salt Lake,Non-weather keyword/tag match
759094,Real Salt Lake vs. FC Juárez,Non-weather keyword/tag match
733395,Tigres de la UANL vs. Real Salt Lake,Non-weather keyword/tag match
936888,Real Salt Lake vs. New York City FC,Non-weather keyword/tag match
791009,Real Salt Lake vs. Minnesota United FC,Non-weather keyword/tag match
976610,Real Salt Lake vs. Vancouver Whitecaps FC,Non-weather keyword/tag match
896069,Real Salt Lake vs. Los Angeles FC,Non-weather keyword/tag match
909984,"Trump renames Lake Ontario to ""Lake America"" in 2026?",Non-weather keyword/tag match
943256,Apple Maps renames Lake Ontario to Lake America by...?,Non-weather keyword/tag match
905674,"Niagara-on-the-Lake, ON Mayoral Election Winner",Non-weather keyword/tag match
959873,"Trump renames Lake Okeechobee to ""Trump Lake"" in 2026?",Non-weather keyword/tag match
